Order Id,Supplier,Commodity,Order Country,Order Region,Shipping Mode,Days for shipping (real),Days for shipment (scheduled),Delay_Days,Late_delivery_risk,Order Item Quantity,Sales
75905,Singapur,Battery Materials,Singapur,Southeast Asia,First Class,2,1,1,1,1,327.75
75904,India,Battery Materials,India,South Asia,First Class,2,1,1,1,1,327.75
75903,Australia,Battery Materials,Australia,Oceania,First Class,2,1,1,1,1,327.75
75902,Australia,Battery Materials,Australia,Oceania,Same Day,1,0,1,1,1,327.75
75901,Australia,Battery Materials,Australia,Oceania,Same Day,1,0,1,0,1,327.75
75900,Singapur,Battery Materials,Singapur,Southeast Asia,Same Day,1,0,1,1,1,327.75
75899,Singapur,Battery Materials,Singapur,Southeast Asia,Same Day,1,0,1,1,1,327.75
75898,Indonesia,Battery Materials,Indonesia,Southeast Asia,Standard Class,4,4,0,0,1,327.75
75897,Indonesia,Battery Materials,Indonesia,Southeast Asia,Standard Class,3,4,-1,0,1,327.75
75896,Australia,Battery Materials,Australia,Oceania,Standard Class,2,4,-2,0,1,327.75
75895,India,Battery Materials,India,South Asia,Standard Class,6,4,2,1,1,327.75
75894,India,Battery Materials,India,South Asia,Second Class,5,2,3,1,1,327.75
75893,China,Battery Materials,China,Eastern Asia,Standard Class,4,4,0,0,1,327.75
28744,India,Interior Components,India,South Asia,Second Class,5,2,3,1,2,119.9800034
45461,Turquía,Interior Components,Turquía,West Asia,Second Class,2,2,0,0,2,79.98000336
31115,Australia,Semiconductors,Australia,Oceania,Second Class,6,2,4,1,2,100.0
45766,Turquía,Interior Components,Turquía,West Asia,Second Class,2,2,0,0,2,79.98000336
47752,Mongolia,Semiconductors,Mongolia,Eastern Asia,Second Class,3,2,1,1,2,100.0
50054,Turquía,Semiconductors,Turquía,West Asia,Second Class,5,2,3,1,2,100.0
20365,India,Semiconductors,India,South Asia,Second Class,6,2,4,1,2,100.0
36146,Estados Unidos,Battery Materials,Estados Unidos,West of USA ,Second Class,2,2,0,0,2,89.98000336
41234,Estados Unidos,Semiconductors,Estados Unidos,West of USA ,Second Class,5,2,3,1,2,109.9400024
32090,Estados Unidos,Interior Components,Estados Unidos,West of USA ,Second Class,6,2,4,1,2,119.9800034
34773,Estados Unidos,Interior Components,Estados Unidos,US Center ,Second Class,4,2,2,1,2,119.9800034
44046,Nigeria,Metal Components,Nigeria,West Africa,Second Class,2,2,0,0,3,299.9700012
46414,República Democrática del Congo,Interior Components,República Democrática del Congo,Central Africa,Second Class,5,2,3,1,3,119.9700012
46599,Senegal,Interior Components,Senegal,West Africa,Second Class,5,2,3,1,3,65.97000122
48434,Marruecos,Battery Materials,Marruecos,North Africa,Second Class,5,2,3,1,3,95.97000122
12827,Alemania,Metal Components,Alemania,Western Europe,Second Class,3,2,1,1,3,299.9700012
63936,Francia,Metal Components,Francia,Western Europe,Second Class,2,2,0,0,3,299.9700012
65030,Francia,Metal Components,Francia,Western Europe,Second Class,6,2,4,1,3,299.9700012
18108,Países Bajos,Interior Components,Países Bajos,Western Europe,Second Class,4,2,2,1,3,179.9700012
62571,Reino Unido,Interior Components,Reino Unido,Northern Europe,Second Class,2,2,0,0,3,179.9700012
17162,Reino Unido,Interior Components,Reino Unido,Northern Europe,Second Class,3,2,1,1,3,179.9700012
65922,Francia,Interior Components,Francia,Western Europe,Second Class,3,2,1,1,3,179.9700012
63936,Francia,Semiconductors,Francia,Western Europe,Second Class,2,2,0,0,3,150.0
64813,Reino Unido,Interior Components,Reino Unido,Northern Europe,Second Class,4,2,2,1,3,119.9700012
67892,Alemania,Semiconductors,Alemania,Western Europe,Second Class,3,2,1,1,3,150.0
12525,Francia,Interior Components,Francia,Western Europe,Second Class,6,2,4,1,3,65.97000122
5895,Guatemala,Metal Components,Guatemala,Central America,Second Class,6,2,4,1,3,299.9700012
56359,El Salvador,Interior Components,El Salvador,Central America,Second Class,5,2,3,1,3,179.9700012
58613,Panamá,Interior Components,Panamá,Central America,Second Class,4,2,2,1,3,179.9700012
7824,República Dominicana,Interior Components,República Dominicana,Caribbean,Second Class,5,2,3,1,3,179.9700012
7814,Venezuela,Interior Components,Venezuela,South America,Second Class,5,2,3,1,3,179.9700012
7814,Venezuela,Interior Components,Venezuela,South America,Second Class,5,2,3,1,3,179.9700012
60807,República Dominicana,Interior Components,República Dominicana,Caribbean,Second Class,3,2,1,1,3,179.9700012
53413,Colombia,Interior Components,Colombia,South America,Second Class,4,2,2,1,3,179.9700012
7888,El Salvador,Semiconductors,El Salvador,Central America,Second Class,4,2,2,1,3,150.0
6783,Honduras,Interior Components,Honduras,Central America,Second Class,4,2,2,1,3,119.9700012
56973,Brasil,Semiconductors,Brasil,South America,Second Class,4,2,2,1,3,150.0
7824,República Dominicana,Semiconductors,República Dominicana,Caribbean,Second Class,5,2,3,1,3,150.0
55155,México,Semiconductors,México,Central America,Second Class,6,2,4,1,3,150.0
5991,México,Semiconductors,México,Central America,Second Class,2,2,0,0,3,150.0
2263,México,Semiconductors,México,Central America,Second Class,4,2,2,1,3,150.0
2263,México,Semiconductors,México,Central America,Second Class,4,2,2,1,3,150.0
53403,México,Semiconductors,México,Central America,Second Class,4,2,2,1,3,150.0
51298,Brasil,Interior Components,Brasil,South America,Second Class,4,2,2,1,3,119.9700012
4919,Uruguay,Semiconductors,Uruguay,South America,Standard Class,5,4,1,1,5,250.0
52640,Argentina,Interior Components,Argentina,South America,Standard Class,6,4,2,1,5,199.9499969
6358,Brasil,Interior Components,Brasil,South America,Standard Class,4,4,0,0,5,199.9499969
57106,Brasil,Semiconductors,Brasil,South America,Standard Class,2,4,-2,0,5,250.0
6245,Brasil,Semiconductors,Brasil,South America,Standard Class,6,4,2,1,5,250.0
52166,Cuba,Interior Components,Cuba,Caribbean,Standard Class,2,4,-2,0,5,150.0
56172,Cuba,Interior Components,Cuba,Caribbean,Standard Class,3,4,-1,0,5,199.9499969
55829,República Dominicana,Semiconductors,República Dominicana,Caribbean,Standard Class,5,4,1,1,5,250.0
52478,México,Semiconductors,México,Central America,Standard Class,4,4,0,0,5,250.0
57242,Panamá,Interior Components,Panamá,Central America,Standard Class,3,4,-1,0,5,199.9499969
3137,México,Semiconductors,México,Central America,Standard Class,3,4,-1,0,5,250.0
60127,Brasil,Semiconductors,Brasil,South America,Standard Class,3,4,-1,0,5,250.0
3828,Panamá,Interior Components,Panamá,Central America,Standard Class,4,4,0,0,5,199.9499969
60386,Brasil,Semiconductors,Brasil,South America,Standard Class,2,4,-2,0,5,250.0
973,Cuba,Interior Components,Cuba,Caribbean,Standard Class,4,4,0,0,5,199.9499969
57999,Honduras,Semiconductors,Honduras,Central America,Standard Class,5,4,1,1,5,250.0
54585,Perú,Semiconductors,Perú,South America,Standard Class,6,4,2,1,5,250.0
57598,Cuba,Semiconductors,Cuba,Caribbean,Standard Class,4,4,0,0,5,250.0
54274,México,Semiconductors,México,Central America,Standard Class,5,4,1,1,5,250.0
60673,Nicaragua,Interior Components,Nicaragua,Central America,Standard Class,4,4,0,0,5,199.9499969
59387,México,Semiconductors,México,Central America,Standard Class,3,4,-1,0,5,250.0
52640,Argentina,Semiconductors,Argentina,South America,Standard Class,6,4,2,1,5,250.0
10007,Brasil,Semiconductors,Brasil,South America,Standard Class,3,4,-1,0,5,250.0
55984,El Salvador,Battery Materials,El Salvador,Central America,Standard Class,5,4,1,1,5,239.9499969
52478,México,Battery Materials,México,Central America,Standard Class,4,4,0,0,5,159.9499969
58375,Guatemala,Mechanical Assemblies,Guatemala,Central America,Standard Class,6,4,2,1,5,449.9500122
56448,Cuba,Mechanical Assemblies,Cuba,Caribbean,Standard Class,4,4,0,0,5,149.9499969
8221,Argentina,Metal Components,Argentina,South America,Standard Class,2,4,-2,0,5,299.9500122
58034,Guatemala,Metal Components,Guatemala,Central America,Standard Class,5,4,1,1,5,499.9500122
2203,Guatemala,Metal Components,Guatemala,Central America,Standard Class,4,4,0,0,5,499.9500122
53069,Ecuador,Metal Components,Ecuador,South America,Standard Class,5,4,1,1,5,499.9500122
60146,Nicaragua,Metal Components,Nicaragua,Central America,Standard Class,2,4,-2,0,5,499.9500122
55409,Venezuela,Metal Components,Venezuela,South America,Standard Class,5,4,1,1,5,499.9500122
8678,Panamá,Metal Components,Panamá,Central America,Standard Class,4,4,0,0,5,499.9500122
7980,Panamá,Metal Components,Panamá,Central America,Standard Class,6,4,2,1,5,499.9500122
57185,Guatemala,Metal Components,Guatemala,Central America,Standard Class,6,4,2,1,5,499.9500122
8636,Brasil,Metal Components,Brasil,South America,Standard Class,2,4,-2,0,5,499.9500122
61192,Brasil,Semiconductors,Brasil,South America,Standard Class,3,4,-1,0,5,449.9500122
55876,Nicaragua,Interior Components,Nicaragua,Central America,Standard Class,2,4,-2,0,5,299.9500122
53331,México,Interior Components,México,Central America,Standard Class,2,4,-2,0,5,299.9500122
51725,El Salvador,Interior Components,El Salvador,Central America,Standard Class,6,4,2,1,5,299.9500122
52562,Argentina,Interior Components,Argentina,South America,Standard Class,3,4,-1,0,5,299.9500122
59754,El Salvador,Interior Components,El Salvador,Central America,Standard Class,5,4,1,1,5,299.9500122
53574,Honduras,Interior Components,Honduras,Central America,Standard Class,5,4,1,1,5,299.9500122
399,México,Interior Components,México,Central America,Standard Class,5,4,1,1,5,299.9500122
51050,Angola,Metal Components,Angola,Central Africa,Second Class,6,2,4,1,1,99.98999786
45680,Sudán,Semiconductors,Sudán,North Africa,Second Class,6,2,4,1,1,129.9900055
42992,Somalia,Semiconductors,Somalia,East Africa,Second Class,3,2,1,1,1,129.9900055
41304,Marruecos,Semiconductors,Marruecos,North Africa,Second Class,5,2,3,1,1,129.9900055
45680,Sudán,Interior Components,Sudán,North Africa,Second Class,6,2,4,1,1,59.99000168
44253,Costa de Marfil,Semiconductors,Costa de Marfil,West Africa,Second Class,4,2,2,1,1,129.9900055
46098,Egipto,Battery Materials,Egipto,North Africa,Second Class,4,2,2,1,1,299.980011
41304,Marruecos,Battery Materials,Marruecos,North Africa,Second Class,5,2,3,1,1,299.980011
71077,Italia,Interior Components,Italia,Southern Europe,Second Class,3,2,1,1,1,252.8800049
69703,Alemania,Mechanical Assemblies,Alemania,Western Europe,Second Class,4,2,2,1,1,452.0400085
71112,Francia,Interior Components,Francia,Western Europe,Second Class,3,2,1,1,1,252.8800049
69810,Alemania,Mechanical Assemblies,Alemania,Western Europe,Second Class,6,2,4,1,1,452.0400085
71092,Alemania,Interior Components,Alemania,Western Europe,Second Class,3,2,1,1,1,252.8800049
69610,Italia,Mechanical Assemblies,Italia,Southern Europe,Second Class,6,2,4,1,1,452.0400085
71000,Alemania,Interior Components,Alemania,Western Europe,Second Class,6,2,4,1,1,252.8800049
70734,Reino Unido,Plastic Components,Reino Unido,Northern Europe,Second Class,5,2,3,1,1,1500.0
69626,Francia,Mechanical Assemblies,Francia,Western Europe,Second Class,2,2,0,0,1,452.0400085
69482,Alemania,Mechanical Assemblies,Alemania,Western Europe,Second Class,3,2,1,1,1,452.0400085
70769,Reino Unido,Plastic Components,Reino Unido,Northern Europe,Second Class,5,2,3,1,1,1500.0
69643,Italia,Mechanical Assemblies,Italia,Southern Europe,Second Class,4,2,2,1,1,452.0400085
71051,Reino Unido,Interior Components,Reino Unido,Northern Europe,Second Class,2,2,0,0,1,252.8800049
69408,Italia,Mechanical Assemblies,Italia,Southern Europe,Second Class,4,2,2,1,1,452.0400085
71123,España,Interior Components,España,Southern Europe,Second Class,4,2,2,1,1,252.8800049
70534,Francia,Plastic Components,Francia,Western Europe,Second Class,5,2,3,1,1,1500.0
69641,España,Mechanical Assemblies,España,Southern Europe,Second Class,2,2,0,0,1,452.0400085
70960,Francia,Interior Components,Francia,Western Europe,Second Class,6,2,4,1,1,252.8800049
69908,Reino Unido,Mechanical Assemblies,Reino Unido,Northern Europe,Second Class,4,2,2,1,1,452.0400085
70957,Francia,Interior Components,Francia,Western Europe,Second Class,3,2,1,1,1,252.8800049
69637,Francia,Mechanical Assemblies,Francia,Western Europe,Second Class,3,2,1,1,1,452.0400085
70955,Reino Unido,Interior Components,Reino Unido,Northern Europe,Second Class,6,2,4,1,1,252.8800049
70919,Italia,Interior Components,Italia,Southern Europe,Second Class,5,2,3,1,1,252.8800049
71009,Alemania,Interior Components,Alemania,Western Europe,Second Class,5,2,3,1,1,252.8800049
69653,Reino Unido,Mechanical Assemblies,Reino Unido,Northern Europe,Second Class,4,2,2,1,1,452.0400085
69527,Italia,Mechanical Assemblies,Italia,Southern Europe,Second Class,3,2,1,1,1,452.0400085
71080,Alemania,Interior Components,Alemania,Western Europe,Second Class,6,2,4,1,1,252.8800049
70544,Reino Unido,Plastic Components,Reino Unido,Northern Europe,Second Class,5,2,3,1,1,1500.0
69471,Reino Unido,Mechanical Assemblies,Reino Unido,Northern Europe,Second Class,2,2,0,0,1,452.0400085
68879,Francia,Plastic Components,Francia,Western Europe,Second Class,5,2,3,1,1,999.9899902
67214,España,Mechanical Assemblies,España,Southern Europe,Second Class,5,2,3,1,1,79.98999786
17810,Suecia,Metal Components,Suecia,Northern Europe,Second Class,6,2,4,1,1,59.99000168
18793,Reino Unido,Battery Materials,Reino Unido,Northern Europe,Second Class,4,2,2,1,1,44.99000168
65109,Alemania,Metal Components,Alemania,Western Europe,Second Class,5,2,3,1,1,99.98999786
15673,Reino Unido,Metal Components,Reino Unido,Northern Europe,Second Class,4,2,2,1,1,99.98999786
18183,Países Bajos,Battery Materials,Países Bajos,Western Europe,Second Class,4,2,2,1,1,44.99000168
20234,Austria,Metal Components,Austria,Western Europe,Second Class,5,2,3,1,1,99.98999786
13139,Austria,Metal Components,Austria,Western Europe,Second Class,5,2,3,1,1,99.98999786
33824,Estados Unidos,Battery Materials,Estados Unidos,US Center ,Standard Class,5,4,1,0,3,134.9700012
31364,Estados Unidos,Metal Components,Estados Unidos,West of USA ,Standard Class,5,4,1,0,3,299.9700012
40495,Estados Unidos,Metal Components,Estados Unidos,West of USA ,Standard Class,6,4,2,0,3,299.9700012
31364,Estados Unidos,Metal Components,Estados Unidos,West of USA ,Standard Class,5,4,1,0,3,299.9700012
34506,Estados Unidos,Interior Components,Estados Unidos,West of USA ,Standard Class,2,4,-2,0,3,179.9700012
33607,Estados Unidos,Interior Components,Estados Unidos,West of USA ,Standard Class,3,4,-1,0,3,179.9700012
32617,Estados Unidos,Interior Components,Estados Unidos,East of USA,Standard Class,3,4,-1,0,3,179.9700012
37496,Estados Unidos,Interior Components,Estados Unidos,US Center ,Standard Class,2,4,-2,0,3,119.9700012
32617,Estados Unidos,Mechanical Assemblies,Estados Unidos,East of USA,Standard Class,3,4,-1,0,3,75.0
49075,Canada,Semiconductors,Canada,Canada,Standard Class,6,4,2,0,3,150.0
33824,Estados Unidos,Semiconductors,Estados Unidos,US Center ,Standard Class,5,4,1,0,3,150.0
49075,Canada,Semiconductors,Canada,Canada,Standard Class,6,4,2,0,3,150.0
41623,Canada,Interior Components,Canada,Canada,Standard Class,4,4,0,0,3,119.9700012
39271,Estados Unidos,Interior Components,Estados Unidos,East of USA,Standard Class,2,4,-2,0,3,119.9700012
38598,Estados Unidos,Plastic Components,Estados Unidos,US Center ,Standard Class,4,4,0,0,3,74.97000122
37845,Estados Unidos,Interior Components,Estados Unidos,US Center ,Standard Class,6,4,2,0,3,47.97000122
42331,Madagascar,Interior Components,Madagascar,East Africa,Standard Class,2,4,-2,0,4,239.9600067
41345,Argelia,Interior Components,Argelia,North Africa,Standard Class,6,4,2,0,4,239.9600067
51168,Liberia,Semiconductors,Liberia,West Africa,Standard Class,4,4,0,0,4,200.0
51168,Liberia,Interior Components,Liberia,West Africa,Standard Class,4,4,0,0,4,159.9600067
43599,Sudán,Semiconductors,Sudán,North Africa,Standard Class,5,4,1,0,4,200.0
41901,Costa de Marfil,Plastic Components,Costa de Marfil,West Africa,Standard Class,2,4,-2,0,4,99.95999908
42751,Zambia,Metal Components,Zambia,East Africa,Standard Class,2,4,-2,0,4,399.9599915
45088,Marruecos,Interior Components,Marruecos,North Africa,Standard Class,4,4,0,0,4,239.9600067
50489,Egipto,Interior Components,Egipto,North Africa,Standard Class,5,4,1,1,4,239.9600067
44409,Senegal,Interior Components,Senegal,West Africa,Standard Class,5,4,1,1,4,239.9600067
42101,Egipto,Interior Components,Egipto,North Africa,Standard Class,2,4,-2,0,4,239.9600067
50424,Marruecos,Interior Components,Marruecos,North Africa,Standard Class,5,4,1,1,4,239.9600067
49825,Costa de Marfil,Semiconductors,Costa de Marfil,West Africa,Standard Class,6,4,2,1,4,200.0
41294,Egipto,Semiconductors,Egipto,North Africa,Standard Class,5,4,1,1,4,200.0
42023,Níger,Interior Components,Níger,West Africa,Standard Class,4,4,0,0,4,159.9600067
47774,Marruecos,Interior Components,Marruecos,North Africa,Standard Class,5,4,1,1,4,159.9600067
41827,SudAfrica,Mechanical Assemblies,SudAfrica,Southern Africa,Standard Class,3,4,-1,0,4,120.0
47193,Marruecos,Semiconductors,Marruecos,North Africa,Standard Class,4,4,0,0,4,200.0
42626,Sudán,Semiconductors,Sudán,North Africa,Standard Class,2,4,-2,0,4,200.0
46199,Nigeria,Semiconductors,Nigeria,West Africa,Standard Class,5,4,1,1,4,200.0
48468,Nigeria,Plastic Components,Nigeria,West Africa,Standard Class,4,4,0,0,4,99.95999908
51009,Mozambique,Metal Components,Mozambique,East Africa,Standard Class,5,4,1,1,4,399.9599915
46229,SudAfrica,Metal Components,SudAfrica,Southern Africa,Standard Class,5,4,1,1,4,399.9599915
42882,Tanzania,Metal Components,Tanzania,East Africa,Standard Class,3,4,-1,0,4,399.9599915
46827,Somalia,Metal Components,Somalia,East Africa,Standard Class,3,4,-1,0,4,399.9599915
48684,Ruanda,Metal Components,Ruanda,East Africa,Standard Class,5,4,1,1,4,399.9599915
48684,Ruanda,Metal Components,Ruanda,East Africa,Standard Class,5,4,1,1,4,399.9599915
46416,Egipto,Metal Components,Egipto,North Africa,Standard Class,2,4,-2,0,4,399.9599915
47343,SudAfrica,Metal Components,SudAfrica,Southern Africa,Standard Class,4,4,0,0,4,399.9599915
41686,Turquía,Semiconductors,Turquía,West Asia,Standard Class,2,4,-2,0,1,129.9900055
41896,Israel,Semiconductors,Israel,West Asia,Standard Class,2,4,-2,0,1,129.9900055
28168,Australia,Interior Components,Australia,Oceania,Standard Class,4,4,0,0,1,59.99000168
24992,Australia,Semiconductors,Australia,Oceania,Standard Class,3,4,-1,0,1,129.9900055
30851,Nueva Zelanda,Semiconductors,Nueva Zelanda,Oceania,Standard Class,2,4,-2,0,1,129.9900055
25074,Australia,Semiconductors,Australia,Oceania,Standard Class,5,4,1,1,1,129.9900055
76870,Australia,Plastic Components,Australia,Oceania,Standard Class,6,4,2,1,1,215.8200073
25163,Bangladés,Semiconductors,Bangladés,South Asia,Standard Class,4,4,0,0,1,129.9900055
28036,India,Semiconductors,India,South Asia,Standard Class,2,4,-2,0,1,129.9900055
22679,Tailandia,Semiconductors,Tailandia,Southeast Asia,Standard Class,5,4,1,1,1,129.9900055
23610,Tailandia,Semiconductors,Tailandia,Southeast Asia,Standard Class,6,4,2,1,1,129.9900055
42828,Irak,Interior Components,Irak,West Asia,Standard Class,4,4,0,0,1,59.99000168
41896,Israel,Semiconductors,Israel,West Asia,Standard Class,2,4,-2,0,1,129.9900055
48713,Turquía,Semiconductors,Turquía,West Asia,Standard Class,4,4,0,0,1,129.9900055
45668,Arabia Saudí,Semiconductors,Arabia Saudí,West Asia,Standard Class,4,4,0,0,1,129.9900055
74796,China,Semiconductors,China,Eastern Asia,Standard Class,2,4,-2,0,1,461.480011
27918,China,Semiconductors,China,Eastern Asia,Standard Class,4,4,0,0,1,129.9900055
30097,Australia,Interior Components,Australia,Oceania,Standard Class,3,4,-1,0,1,59.99000168
30966,Nueva Zelanda,Semiconductors,Nueva Zelanda,Oceania,Standard Class,2,4,-2,0,1,129.9900055
30063,Australia,Semiconductors,Australia,Oceania,Standard Class,4,4,0,0,1,129.9900055
22019,India,Semiconductors,India,South Asia,Standard Class,5,4,1,1,1,129.9900055
24230,Filipinas,Semiconductors,Filipinas,Southeast Asia,Standard Class,6,4,2,1,1,129.9900055
48713,Turquía,Semiconductors,Turquía,West Asia,Standard Class,4,4,0,0,1,129.9900055
42353,Turquía,Semiconductors,Turquía,West Asia,Standard Class,4,4,0,0,1,129.9900055
45668,Arabia Saudí,Semiconductors,Arabia Saudí,West Asia,Standard Class,4,4,0,0,1,129.9900055
42134,Kazajistán,Semiconductors,Kazajistán,Central Asia,Standard Class,5,4,1,1,1,129.9900055
21522,China,Semiconductors,China,Eastern Asia,Standard Class,3,4,-1,0,1,129.9900055
23767,China,Semiconductors,China,Eastern Asia,Standard Class,3,4,-1,0,1,129.9900055
25433,China,Semiconductors,China,Eastern Asia,Standard Class,4,4,0,0,1,129.9900055
73893,China,Plastic Components,China,Eastern Asia,Standard Class,4,4,0,0,1,215.8200073
30085,Australia,Interior Components,Australia,Oceania,Standard Class,6,4,2,1,1,59.99000168
30172,Australia,Semiconductors,Australia,Oceania,Standard Class,3,4,-1,0,1,129.9900055
27478,Australia,Semiconductors,Australia,Oceania,Standard Class,4,4,0,0,1,129.9900055
76976,Australia,Plastic Components,Australia,Oceania,Standard Class,2,4,-2,0,1,215.8200073
24063,India,Semiconductors,India,South Asia,Standard Class,4,4,0,0,1,129.9900055
51209,Irán,Semiconductors,Irán,South Asia,Standard Class,5,4,1,1,1,129.9900055
73839,India,Plastic Components,India,South Asia,Standard Class,5,4,1,1,1,215.8200073
74723,Indonesia,Semiconductors,Indonesia,Southeast Asia,Standard Class,4,4,0,0,1,461.480011
26821,Indonesia,Semiconductors,Indonesia,Southeast Asia,Standard Class,2,4,-2,0,1,129.9900055
77102,Myanmar (Birmania),Plastic Components,Myanmar (Birmania),Southeast Asia,Standard Class,3,4,-1,0,1,215.8200073
41608,Turquía,Semiconductors,Turquía,West Asia,Standard Class,4,4,0,0,1,129.9900055
47009,Irak,Semiconductors,Irak,West Asia,Standard Class,5,4,1,1,1,129.9900055
49916,Uzbekistán,Semiconductors,Uzbekistán,Central Asia,Standard Class,2,4,-2,0,1,129.9900055
29746,China,Interior Components,China,Eastern Asia,Standard Class,2,4,-2,0,1,59.99000168
72533,China,Plastic Components,China,Eastern Asia,Standard Class,4,4,0,0,1,210.8500061
48608,Benín,Semiconductors,Benín,West Africa,Standard Class,4,4,0,0,5,250.0
45506,Nigeria,Semiconductors,Nigeria,West Africa,Standard Class,2,4,-2,0,5,250.0
45027,Nigeria,Interior Components,Nigeria,West Africa,Standard Class,3,4,-1,0,5,199.9499969
46308,República Democrática del Congo,Interior Components,República Democrática del Congo,Central Africa,Standard Class,4,4,0,0,5,199.9499969
43685,Nigeria,Semiconductors,Nigeria,West Africa,Standard Class,6,4,2,1,5,250.0
41893,Camerún,Semiconductors,Camerún,Central Africa,Standard Class,4,4,0,0,5,250.0
46339,Angola,Semiconductors,Angola,Central Africa,Standard Class,5,4,1,1,5,250.0
46667,Nigeria,Semiconductors,Nigeria,West Africa,Standard Class,3,4,-1,0,5,250.0
47647,Kenia,Semiconductors,Kenia,East Africa,Standard Class,3,4,-1,0,5,250.0
48565,Zambia,Semiconductors,Zambia,East Africa,Standard Class,6,4,2,1,5,250.0
43889,Nigeria,Semiconductors,Nigeria,West Africa,Standard Class,5,4,1,1,5,250.0
45138,Camerún,Semiconductors,Camerún,Central Africa,Standard Class,4,4,0,0,5,250.0
44160,República Democrática del Congo,Interior Components,República Democrática del Congo,Central Africa,Standard Class,6,4,2,1,5,199.9499969
49214,Togo,Semiconductors,Togo,West Africa,Standard Class,5,4,1,1,5,250.0
41825,SudAfrica,Plastic Components,SudAfrica,Southern Africa,Standard Class,6,4,2,1,5,124.9499969
44504,Senegal,Plastic Components,Senegal,West Africa,Standard Class,5,4,1,1,5,124.9499969
44496,Madagascar,Plastic Components,Madagascar,East Africa,Standard Class,2,4,-2,0,5,124.9499969
45559,Togo,Interior Components,Togo,West Africa,Standard Class,5,4,1,1,5,79.94999695
44074,Nigeria,Interior Components,Nigeria,West Africa,Standard Class,5,4,1,1,5,79.94999695
49857,Argelia,Battery Materials,Argelia,North Africa,Standard Class,3,4,-1,0,5,159.9499969
41786,Marruecos,Mechanical Assemblies,Marruecos,North Africa,Standard Class,2,4,-2,0,5,149.9499969
48042,Benín,Semiconductors,Benín,West Africa,Standard Class,3,4,-1,0,5,224.9499969
44301,Sudán,Metal Components,Sudán,North Africa,Standard Class,2,4,-2,0,5,499.9500122
41591,Tanzania,Interior Components,Tanzania,East Africa,Standard Class,2,4,-2,0,5,299.9500122
44981,Egipto,Interior Components,Egipto,North Africa,Standard Class,2,4,-2,0,5,199.9499969
