Order Id,Supplier,Commodity,Order Country,Order Region,Shipping Mode,Days for shipping (real),Days for shipment (scheduled),Delay_Days,Late_delivery_risk,Order Item Quantity,Sales,Risk_Probability
7814,Venezuela,Interior Components,Venezuela,South America,Second Class,5,2,3,1,3,179.9700012,0.9529251
7814,Venezuela,Interior Components,Venezuela,South America,Second Class,5,2,3,1,3,179.9700012,0.9529251
60807,RepÃºblica Dominicana,Interior Components,RepÃºblica Dominicana,Caribbean,Second Class,3,2,1,1,3,179.9700012,0.94724935
53413,Colombia,Interior Components,Colombia,South America,Second Class,4,2,2,1,3,179.9700012,0.9620181
7888,El Salvador,Semiconductors,El Salvador,Central America,Second Class,4,2,2,1,3,150.0,0.9600158
6783,Honduras,Interior Components,Honduras,Central America,Second Class,4,2,2,1,3,119.9700012,0.9702323
56973,Brasil,Semiconductors,Brasil,South America,Second Class,4,2,2,1,3,150.0,0.9533045
7824,RepÃºblica Dominicana,Semiconductors,RepÃºblica Dominicana,Caribbean,Second Class,5,2,3,1,3,150.0,0.95593536
55155,MÃ©xico,Semiconductors,MÃ©xico,Central America,Second Class,6,2,4,1,3,150.0,0.95488095
5991,MÃ©xico,Semiconductors,MÃ©xico,Central America,Second Class,2,2,0,0,3,150.0,1.4670842e-05
2263,MÃ©xico,Semiconductors,MÃ©xico,Central America,Second Class,4,2,2,1,3,150.0,0.95239407
2263,MÃ©xico,Semiconductors,MÃ©xico,Central America,Second Class,4,2,2,1,3,150.0,0.95239407
53403,MÃ©xico,Semiconductors,MÃ©xico,Central America,Second Class,4,2,2,1,3,150.0,0.95239407
51298,Brasil,Interior Components,Brasil,South America,Second Class,4,2,2,1,3,119.9700012,0.96103114
4919,Uruguay,Semiconductors,Uruguay,South America,Standard Class,5,4,1,1,5,250.0,0.9630789
52640,Argentina,Interior Components,Argentina,South America,Standard Class,6,4,2,1,5,199.9499969,0.94174695
6358,Brasil,Interior Components,Brasil,South America,Standard Class,4,4,0,0,5,199.9499969,1.7526227e-05
57106,Brasil,Semiconductors,Brasil,South America,Standard Class,2,4,-2,0,5,250.0,1.4257332e-05
6245,Brasil,Semiconductors,Brasil,South America,Standard Class,6,4,2,1,5,250.0,0.95558125
52166,Cuba,Interior Components,Cuba,Caribbean,Standard Class,2,4,-2,0,5,150.0,1.2591759e-05
56172,Cuba,Interior Components,Cuba,Caribbean,Standard Class,3,4,-1,0,5,199.9499969,1.4918677e-05
55829,RepÃºblica Dominicana,Semiconductors,RepÃºblica Dominicana,Caribbean,Standard Class,5,4,1,1,5,250.0,0.95601463
52478,MÃ©xico,Semiconductors,MÃ©xico,Central America,Standard Class,4,4,0,0,5,250.0,1.285655e-05
57242,PanamÃ¡,Interior Components,PanamÃ¡,Central America,Standard Class,3,4,-1,0,5,199.9499969,2.5824691e-05
3137,MÃ©xico,Semiconductors,MÃ©xico,Central America,Standard Class,3,4,-1,0,5,250.0,1.5495883e-05
60127,Brasil,Semiconductors,Brasil,South America,Standard Class,3,4,-1,0,5,250.0,1.4257332e-05
3828,PanamÃ¡,Interior Components,PanamÃ¡,Central America,Standard Class,4,4,0,0,5,199.9499969,2.422019e-05
60386,Brasil,Semiconductors,Brasil,South America,Standard Class,2,4,-2,0,5,250.0,1.4257332e-05
973,Cuba,Interior Components,Cuba,Caribbean,Standard Class,4,4,0,0,5,199.9499969,1.4752271e-05
57999,Honduras,Semiconductors,Honduras,Central America,Standard Class,5,4,1,1,5,250.0,0.96289164
54585,PerÃº,Semiconductors,PerÃº,South America,Standard Class,6,4,2,1,5,250.0,0.96093774
57598,Cuba,Semiconductors,Cuba,Caribbean,Standard Class,4,4,0,0,5,250.0,1.4798728e-05
54274,MÃ©xico,Semiconductors,MÃ©xico,Central America,Standard Class,5,4,1,1,5,250.0,0.95711917
60673,Nicaragua,Interior Components,Nicaragua,Central America,Standard Class,4,4,0,0,5,199.9499969,1.1307363e-05
59387,MÃ©xico,Semiconductors,MÃ©xico,Central America,Standard Class,3,4,-1,0,5,250.0,1.5495883e-05
52640,Argentina,Semiconductors,Argentina,South America,Standard Class,6,4,2,1,5,250.0,0.9612753
10007,Brasil,Semiconductors,Brasil,South America,Standard Class,3,4,-1,0,5,250.0,1.4257332e-05
55984,El Salvador,Battery Materials,El Salvador,Central America,Standard Class,5,4,1,1,5,239.9499969,0.95858294
52478,MÃ©xico,Battery Materials,MÃ©xico,Central America,Standard Class,4,4,0,0,5,159.9499969,1.315577e-05
58375,Guatemala,Mechanical Assemblies,Guatemala,Central America,Standard Class,6,4,2,1,5,449.9500122,0.955747
56448,Cuba,Mechanical Assemblies,Cuba,Caribbean,Standard Class,4,4,0,0,5,149.9499969,1.3541683e-05
8221,Argentina,Metal Components,Argentina,South America,Standard Class,2,4,-2,0,5,299.9500122,1.46314405e-05
58034,Guatemala,Metal Components,Guatemala,Central America,Standard Class,5,4,1,1,5,499.9500122,0.95783263
2203,Guatemala,Metal Components,Guatemala,Central America,Standard Class,4,4,0,0,5,499.9500122,1.4117217e-05
53069,Ecuador,Metal Components,Ecuador,South America,Standard Class,5,4,1,1,5,499.9500122,0.96056384
60146,Nicaragua,Metal Components,Nicaragua,Central America,Standard Class,2,4,-2,0,5,499.9500122,1.745274e-05
55409,Venezuela,Metal Components,Venezuela,South America,Standard Class,5,4,1,1,5,499.9500122,0.9754984
8678,PanamÃ¡,Metal Components,PanamÃ¡,Central America,Standard Class,4,4,0,0,5,499.9500122,1.7509854e-05
7980,PanamÃ¡,Metal Components,PanamÃ¡,Central America,Standard Class,6,4,2,1,5,499.9500122,0.94511795
57185,Guatemala,Metal Components,Guatemala,Central America,Standard Class,6,4,2,1,5,499.9500122,0.9561536
8636,Brasil,Metal Components,Brasil,South America,Standard Class,2,4,-2,0,5,499.9500122,1.4967101e-05
61192,Brasil,Semiconductors,Brasil,South America,Standard Class,3,4,-1,0,5,449.9500122,1.4344807e-05
55876,Nicaragua,Interior Components,Nicaragua,Central America,Standard Class,2,4,-2,0,5,299.9500122,1.6625097e-05
53331,MÃ©xico,Interior Components,MÃ©xico,Central America,Standard Class,2,4,-2,0,5,299.9500122,1.5495883e-05
51725,El Salvador,Interior Components,El Salvador,Central America,Standard Class,6,4,2,1,5,299.9500122,0.95797527
52562,Argentina,Interior Components,Argentina,South America,Standard Class,3,4,-1,0,5,299.9500122,1.46314405e-05
59754,El Salvador,Interior Components,El Salvador,Central America,Standard Class,5,4,1,1,5,299.9500122,0.956416
53574,Honduras,Interior Components,Honduras,Central America,Standard Class,5,4,1,1,5,299.9500122,0.96482086
399,MÃ©xico,Interior Components,MÃ©xico,Central America,Standard Class,5,4,1,1,5,299.9500122,0.95711917
51050,Angola,Metal Components,Angola,Central Africa,Second Class,6,2,4,1,1,99.98999786,0.95343304
45680,SudÃ¡n,Semiconductors,SudÃ¡n,North Africa,Second Class,6,2,4,1,1,129.9900055,0.9920041
42992,Somalia,Semiconductors,Somalia,East Africa,Second Class,3,2,1,1,1,129.9900055,0.98815376
41304,Marruecos,Semiconductors,Marruecos,North Africa,Second Class,5,2,3,1,1,129.9900055,0.9841905
45680,SudÃ¡n,Interior Components,SudÃ¡n,North Africa,Second Class,6,2,4,1,1,59.99000168,0.99244905
44253,Costa de Marfil,Semiconductors,Costa de Marfil,West Africa,Second Class,4,2,2,1,1,129.9900055,0.9834162
46098,Egipto,Battery Materials,Egipto,North Africa,Second Class,4,2,2,1,1,299.980011,0.95562977
41304,Marruecos,Battery Materials,Marruecos,North Africa,Second Class,5,2,3,1,1,299.980011,0.9837722
71077,Italia,Interior Components,Italia,Southern Europe,Second Class,3,2,1,1,1,252.8800049,0.96069247
69703,Alemania,Mechanical Assemblies,Alemania,Western Europe,Second Class,4,2,2,1,1,452.0400085,0.95894593
71112,Francia,Interior Components,Francia,Western Europe,Second Class,3,2,1,1,1,252.8800049,0.9584153
69810,Alemania,Mechanical Assemblies,Alemania,Western Europe,Second Class,6,2,4,1,1,452.0400085,0.951326
71092,Alemania,Interior Components,Alemania,Western Europe,Second Class,3,2,1,1,1,252.8800049,0.9594638
69610,Italia,Mechanical Assemblies,Italia,Southern Europe,Second Class,6,2,4,1,1,452.0400085,0.9524927
71000,Alemania,Interior Components,Alemania,Western Europe,Second Class,6,2,4,1,1,252.8800049,0.966659
70734,Reino Unido,Plastic Components,Reino Unido,Northern Europe,Second Class,5,2,3,1,1,1500.0,0.9782718
69626,Francia,Mechanical Assemblies,Francia,Western Europe,Second Class,2,2,0,0,1,452.0400085,1.5732821e-05
69482,Alemania,Mechanical Assemblies,Alemania,Western Europe,Second Class,3,2,1,1,1,452.0400085,0.95371413
70769,Reino Unido,Plastic Components,Reino Unido,Northern Europe,Second Class,5,2,3,1,1,1500.0,0.9782718
69643,Italia,Mechanical Assemblies,Italia,Southern Europe,Second Class,4,2,2,1,1,452.0400085,0.96079224
71051,Reino Unido,Interior Components,Reino Unido,Northern Europe,Second Class,2,2,0,0,1,252.8800049,1.4281567e-05
69408,Italia,Mechanical Assemblies,Italia,Southern Europe,Second Class,4,2,2,1,1,452.0400085,0.96079224
71123,EspaÃ±a,Interior Components,EspaÃ±a,Southern Europe,Second Class,4,2,2,1,1,252.8800049,0.9729931
70534,Francia,Plastic Components,Francia,Western Europe,Second Class,5,2,3,1,1,1500.0,0.9790348
69641,EspaÃ±a,Mechanical Assemblies,EspaÃ±a,Southern Europe,Second Class,2,2,0,0,1,452.0400085,1.5209799e-05
70960,Francia,Interior Components,Francia,Western Europe,Second Class,6,2,4,1,1,252.8800049,0.96787876
69908,Reino Unido,Mechanical Assemblies,Reino Unido,Northern Europe,Second Class,4,2,2,1,1,452.0400085,0.9486986
70957,Francia,Interior Components,Francia,Western Europe,Second Class,3,2,1,1,1,252.8800049,0.9584153
69637,Francia,Mechanical Assemblies,Francia,Western Europe,Second Class,3,2,1,1,1,452.0400085,0.9525243
70955,Reino Unido,Interior Components,Reino Unido,Northern Europe,Second Class,6,2,4,1,1,252.8800049,0.95544964
70919,Italia,Interior Components,Italia,Southern Europe,Second Class,5,2,3,1,1,252.8800049,0.9623085
71009,Alemania,Interior Components,Alemania,Western Europe,Second Class,5,2,3,1,1,252.8800049,0.94268596
69653,Reino Unido,Mechanical Assemblies,Reino Unido,Northern Europe,Second Class,4,2,2,1,1,452.0400085,0.9486986
69527,Italia,Mechanical Assemblies,Italia,Southern Europe,Second Class,3,2,1,1,1,452.0400085,0.9556375
71080,Alemania,Interior Components,Alemania,Western Europe,Second Class,6,2,4,1,1,252.8800049,0.966659
70544,Reino Unido,Plastic Components,Reino Unido,Northern Europe,Second Class,5,2,3,1,1,1500.0,0.9782718
69471,Reino Unido,Mechanical Assemblies,Reino Unido,Northern Europe,Second Class,2,2,0,0,1,452.0400085,1.4943811e-05
68879,Francia,Plastic Components,Francia,Western Europe,Second Class,5,2,3,1,1,999.9899902,0.9790348
67214,EspaÃ±a,Mechanical Assemblies,EspaÃ±a,Southern Europe,Second Class,5,2,3,1,1,79.98999786,0.9652723
17810,Suecia,Metal Components,Suecia,Northern Europe,Second Class,6,2,4,1,1,59.99000168,0.93869287
18793,Reino Unido,Battery Materials,Reino Unido,Northern Europe,Second Class,4,2,2,1,1,44.99000168,0.9576687
65109,Alemania,Metal Components,Alemania,Western Europe,Second Class,5,2,3,1,1,99.98999786,0.94105315
15673,Reino Unido,Metal Components,Reino Unido,Northern Europe,Second Class,4,2,2,1,1,99.98999786,0.96032083
18183,PaÃ­ses Bajos,Battery Materials,PaÃ­ses Bajos,Western Europe,Second Class,4,2,2,1,1,44.99000168,0.96227795
20234,Austria,Metal Components,Austria,Western Europe,Second Class,5,2,3,1,1,99.98999786,0.94611406
13139,Austria,Metal Components,Austria,Western Europe,Second Class,5,2,3,1,1,99.98999786,0.94611406
33824,Estados Unidos,Battery Materials,Estados Unidos,US Center ,Standard Class,5,4,1,0,3,134.9700012,0.95512307
31364,Estados Unidos,Metal Components,Estados Unidos,West of USA ,Standard Class,5,4,1,0,3,299.9700012,0.95784
40495,Estados Unidos,Metal Components,Estados Unidos,West of USA ,Standard Class,6,4,2,0,3,299.9700012,0.9568734
31364,Estados Unidos,Metal Components,Estados Unidos,West of USA ,Standard Class,5,4,1,0,3,299.9700012,0.95784
34506,Estados Unidos,Interior Components,Estados Unidos,West of USA ,Standard Class,2,4,-2,0,3,179.9700012,1.5269852e-05
33607,Estados Unidos,Interior Components,Estados Unidos,West of USA ,Standard Class,3,4,-1,0,3,179.9700012,1.5269852e-05
32617,Estados Unidos,Interior Components,Estados Unidos,East of USA,Standard Class,3,4,-1,0,3,179.9700012,2.257197e-05
37496,Estados Unidos,Interior Components,Estados Unidos,US Center ,Standard Class,2,4,-2,0,3,119.9700012,1.528413e-05
32617,Estados Unidos,Mechanical Assemblies,Estados Unidos,East of USA,Standard Class,3,4,-1,0,3,75.0,2.4564928e-05
49075,Canada,Semiconductors,Canada,Canada,Standard Class,6,4,2,0,3,150.0,0.9325238
33824,Estados Unidos,Semiconductors,Estados Unidos,US Center ,Standard Class,5,4,1,0,3,150.0,0.95432997
49075,Canada,Semiconductors,Canada,Canada,Standard Class,6,4,2,0,3,150.0,0.9325238
41623,Canada,Interior Components,Canada,Canada,Standard Class,4,4,0,0,3,119.9700012,2.0467187e-05
39271,Estados Unidos,Interior Components,Estados Unidos,East of USA,Standard Class,2,4,-2,0,3,119.9700012,2.1977788e-05
38598,Estados Unidos,Plastic Components,Estados Unidos,US Center ,Standard Class,4,4,0,0,3,74.97000122,1.828803e-05
37845,Estados Unidos,Interior Components,Estados Unidos,US Center ,Standard Class,6,4,2,0,3,47.97000122,0.93554485
42331,Madagascar,Interior Components,Madagascar,East Africa,Standard Class,2,4,-2,0,4,239.9600067,2.4552983e-05
41345,Argelia,Interior Components,Argelia,North Africa,Standard Class,6,4,2,0,4,239.9600067,0.9575351
51168,Liberia,Semiconductors,Liberia,West Africa,Standard Class,4,4,0,0,4,200.0,1.584829e-05
51168,Liberia,Interior Components,Liberia,West Africa,Standard Class,4,4,0,0,4,159.9600067,1.5526504e-05
43599,SudÃ¡n,Semiconductors,SudÃ¡n,North Africa,Standard Class,5,4,1,0,4,200.0,0.9924648
41901,Costa de Marfil,Plastic Components,Costa de Marfil,West Africa,Standard Class,2,4,-2,0,4,99.95999908,2.4025983e-05
42751,Zambia,Metal Components,Zambia,East Africa,Standard Class,2,4,-2,0,4,399.9599915,2.197827e-05
45088,Marruecos,Interior Components,Marruecos,North Africa,Standard Class,4,4,0,0,4,239.9600067,2.2832592e-05
50489,Egipto,Interior Components,Egipto,North Africa,Standard Class,5,4,1,1,4,239.9600067,0.9364303
44409,Senegal,Interior Components,Senegal,West Africa,Standard Class,5,4,1,1,4,239.9600067,0.937091
42101,Egipto,Interior Components,Egipto,North Africa,Standard Class,2,4,-2,0,4,239.9600067,2.1863629e-05
50424,Marruecos,Interior Components,Marruecos,North Africa,Standard Class,5,4,1,1,4,239.9600067,0.9882908
49825,Costa de Marfil,Semiconductors,Costa de Marfil,West Africa,Standard Class,6,4,2,1,4,200.0,0.97873586
41294,Egipto,Semiconductors,Egipto,North Africa,Standard Class,5,4,1,1,4,200.0,0.9306851
42023,NÃ­ger,Interior Components,NÃ­ger,West Africa,Standard Class,4,4,0,0,4,159.9600067,1.668854e-05
47774,Marruecos,Interior Components,Marruecos,North Africa,Standard Class,5,4,1,1,4,159.9600067,0.9731986
41827,SudAfrica,Mechanical Assemblies,SudAfrica,Southern Africa,Standard Class,3,4,-1,0,4,120.0,1.5040603e-05
47193,Marruecos,Semiconductors,Marruecos,North Africa,Standard Class,4,4,0,0,4,200.0,2.105787e-05
42626,SudÃ¡n,Semiconductors,SudÃ¡n,North Africa,Standard Class,2,4,-2,0,4,200.0,3.143352e-05
46199,Nigeria,Semiconductors,Nigeria,West Africa,Standard Class,5,4,1,1,4,200.0,0.9550015
48468,Nigeria,Plastic Components,Nigeria,West Africa,Standard Class,4,4,0,0,4,99.95999908,1.5814021e-05
51009,Mozambique,Metal Components,Mozambique,East Africa,Standard Class,5,4,1,1,4,399.9599915,0.9457495
46229,SudAfrica,Metal Components,SudAfrica,Southern Africa,Standard Class,5,4,1,1,4,399.9599915,0.9577507
42882,Tanzania,Metal Components,Tanzania,East Africa,Standard Class,3,4,-1,0,4,399.9599915,8.598208e-06
46827,Somalia,Metal Components,Somalia,East Africa,Standard Class,3,4,-1,0,4,399.9599915,2.303037e-05
48684,Ruanda,Metal Components,Ruanda,East Africa,Standard Class,5,4,1,1,4,399.9599915,0.9457495
48684,Ruanda,Metal Components,Ruanda,East Africa,Standard Class,5,4,1,1,4,399.9599915,0.9457495
46416,Egipto,Metal Components,Egipto,North Africa,Standard Class,2,4,-2,0,4,399.9599915,1.9717423e-05
47343,SudAfrica,Metal Components,SudAfrica,Southern Africa,Standard Class,4,4,0,0,4,399.9599915,1.1260799e-05
41686,TurquÃ­a,Semiconductors,TurquÃ­a,West Asia,Standard Class,2,4,-2,0,1,129.9900055,1.6248086e-05
41896,Israel,Semiconductors,Israel,West Asia,Standard Class,2,4,-2,0,1,129.9900055,1.400275e-05
28168,Australia,Interior Components,Australia,Oceania,Standard Class,4,4,0,0,1,59.99000168,1.5961916e-05
24992,Australia,Semiconductors,Australia,Oceania,Standard Class,3,4,-1,0,1,129.9900055,1.5202794e-05
30851,Nueva Zelanda,Semiconductors,Nueva Zelanda,Oceania,Standard Class,2,4,-2,0,1,129.9900055,1.5202794e-05
25074,Australia,Semiconductors,Australia,Oceania,Standard Class,5,4,1,1,1,129.9900055,0.9729162
76870,Australia,Plastic Components,Australia,Oceania,Standard Class,6,4,2,1,1,215.8200073,0.97041714
25163,BangladÃ©s,Semiconductors,BangladÃ©s,South Asia,Standard Class,4,4,0,0,1,129.9900055,1.5796943e-05
28036,India,Semiconductors,India,South Asia,Standard Class,2,4,-2,0,1,129.9900055,1.5866135e-05
22679,Tailandia,Semiconductors,Tailandia,Southeast Asia,Standard Class,5,4,1,1,1,129.9900055,0.9739751
23610,Tailandia,Semiconductors,Tailandia,Southeast Asia,Standard Class,6,4,2,1,1,129.9900055,0.9738975
42828,Irak,Interior Components,Irak,West Asia,Standard Class,4,4,0,0,1,59.99000168,1.5403724e-05
41896,Israel,Semiconductors,Israel,West Asia,Standard Class,2,4,-2,0,1,129.9900055,1.400275e-05
48713,TurquÃ­a,Semiconductors,TurquÃ­a,West Asia,Standard Class,4,4,0,0,1,129.9900055,1.5189114e-05
45668,Arabia SaudÃ­,Semiconductors,Arabia SaudÃ­,West Asia,Standard Class,4,4,0,0,1,129.9900055,1.0472801e-05
74796,China,Semiconductors,China,Eastern Asia,Standard Class,2,4,-2,0,1,461.480011,1.414332e-05
27918,China,Semiconductors,China,Eastern Asia,Standard Class,4,4,0,0,1,129.9900055,1.3455344e-05
30097,Australia,Interior Components,Australia,Oceania,Standard Class,3,4,-1,0,1,59.99000168,1.5607382e-05
30966,Nueva Zelanda,Semiconductors,Nueva Zelanda,Oceania,Standard Class,2,4,-2,0,1,129.9900055,1.5202794e-05
30063,Australia,Semiconductors,Australia,Oceania,Standard Class,4,4,0,0,1,129.9900055,1.5548138e-05
22019,India,Semiconductors,India,South Asia,Standard Class,5,4,1,1,1,129.9900055,0.95932376
24230,Filipinas,Semiconductors,Filipinas,Southeast Asia,Standard Class,6,4,2,1,1,129.9900055,0.96238834
48713,TurquÃ­a,Semiconductors,TurquÃ­a,West Asia,Standard Class,4,4,0,0,1,129.9900055,1.5189114e-05
42353,TurquÃ­a,Semiconductors,TurquÃ­a,West Asia,Standard Class,4,4,0,0,1,129.9900055,1.5189114e-05
